scalerank,featurecla
1,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
1,Coastline
1,Coastline
0,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
0,Coastline
0,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
0,Coastline
0,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
0,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
1,Coastline
1,Coastline
1,Coastline
0,Coastline
1,Coastline
1,Coastline
1,Coastline
0,Coastline
0,Coastline
1,Coastline
1,Coastline
0,Coastline
1,Coastline
1,Coastline
0,Coastline
0,Coastline
1,Coastline
1,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
0,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
0,Coastline
0,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
0,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
1,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
0,Coastline
3,Country
